Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821923	SRR7821924	SRR7821925	SRR7821927	SRR7821937	SRR7821938	SRR7821939	SRR7821940	SRR7821941	SRR7821942
ENSMUSG00000103633	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000097892	4	6	4	6	3	9	0	4	2	29	27	29	7	17	22
ENSMUSG00000063659	2787	2697	2572	3148	2658	1978	3809	2184	2269	4220	3463	4581	3342	3826	4298
ENSMUSG00000102432	1	0	0	0	0	0	6	3	0	13	0	6	1	0	0
ENSMUSG00000103043	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000102885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026049	349	368	227	389	334	310	527	350	292	232	91	267	248	217	215
ENSMUSG00000103767	2	0	0	0	0	0	2	2	0	24	21	20	11	7	20
ENSMUSG00000043019	4322	4452	4188	4975	5194	2472	6555	3795	3610	4899	3081	6174	3656	4772	5293
ENSMUSG00000101104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	4	0	0	3	2	4	4	4	0	8	12	14	8	18	18
ENSMUSG00000032666	1564	1362	1325	1550	1318	900	1954	941	928	2279	2175	2383	1844	2368	2350
ENSMUSG00000084557	0	1	0	6	0	0	4	0	0	3	0	2	0	1	6
ENSMUSG00000100685	0	0	0	0	0	0	0	0	0	0	1	1	0	4	4
ENSMUSG00000102090	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015961	4191	4488	3956	4897	4165	3422	6580	4111	3819	4391	2408	5744	3562	4265	4860
ENSMUSG00000089657	0	4	4	3	0	4	4	0	3	1	1	2	3	0	4
ENSMUSG00000102483	2	9	6	4	0	6	16	1	4	6	3	12	4	6	8
ENSMUSG00000014980	539	503	500	587	550	562	972	469	475	907	786	1156	740	889	840
ENSMUSG00000026235	692	625	542	747	758	697	1796	708	848	2015	1557	2441	1752	2591	2607
ENSMUSG00000099141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032649	277	238	294	231	260	411	1123	467	292	2460	2667	2430	1578	1763	1877
ENSMUSG00000101849	0	0	0	0	2	2	2	8	4	6	8	6	4	6	2
ENSMUSG00000101506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102052	2	2	0	1	2	1	3	0	5	0	0	0	0	0	0
ENSMUSG00000026047	847	744	648	882	631	490	1280	442	417	1124	1112	1372	789	1003	1138
ENSMUSG00000080878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091476	147	205	209	220	258	75	432	173	121	251	223	402	253	311	428
ENSMUSG00000104097	1	0	0	3	2	0	2	2	0	0	0	0	0	2	0
ENSMUSG00000119789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102493	7	3	1	2	5	2	8	0	1	4	6	2	0	8	7
ENSMUSG00000004872	0	2	0	0	2	2	0	0	0	0	2	0	2	8	10
ENSMUSG00000118426	2	0	0	0	0	0	2	0	0	2	6	3	0	0	0
ENSMUSG00000041684	816	663	683	693	642	310	972	397	444	1008	577	1131	698	991	1005
ENSMUSG00000032908	1472	1381	1262	1982	1553	1374	3380	1781	1475	2394	2002	3243	2054	2608	3468
ENSMUSG00000099561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026502	2655	2759	2286	3089	2958	2095	3541	2427	2335	2311	1173	2522	1844	2124	2323
ENSMUSG00000103958	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0
ENSMUSG00000070489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104126	308	359	353	382	489	541	480	435	465	348	514	316	220	291	280
ENSMUSG00000026500	623	543	501	542	510	685	1129	466	500	1113	381	1317	810	1117	1167
ENSMUSG00000026048	1932	2083	2046	2399	2629	2995	3424	3196	2955	2817	2771	3118	2048	2759	2856
ENSMUSG00000046828	133	84	80	90	126	82	290	157	63	48	4	37	47	93	97
ENSMUSG00000089703	0	8	0	0	0	0	0	0	0	9	0	6	0	1	4
ENSMUSG00000100966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101567	66	74	80	88	60	47	44	27	18	15	13	14	22	11	38
ENSMUSG00000026245	2515	2509	2072	2786	2342	1973	3658	1655	1825	2584	1969	2984	1966	2316	2636
ENSMUSG00000101798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104018	13	16	28	18	25	18	49	24	18	25	12	61	29	26	42
ENSMUSG00000090486	4	13	11	4	8	10	39	11	6	25	20	26	56	16	44
ENSMUSG00000026482	3921	3601	2945	3965	3877	5339	6289	4080	4452	7820	8866	8302	6454	7025	7350
ENSMUSG00000086145	0	0	0	0	0	0	1	0	0	2	3	1	0	2	0
ENSMUSG00000080950	5	22	16	17	18	44	37	22	31	10	13	15	16	2	16
ENSMUSG00000099868	0	0	2	0	0	4	0	1	0	0	0	0	0	0	0
ENSMUSG00000055547	30	57	33	48	26	23	34	32	40	45	42	68	50	29	73
ENSMUSG00000012187	14	17	22	18	14	18	26	22	22	54	51	44	144	34	52
ENSMUSG00000008475	15061	14997	12796	16925	15069	18152	21998	14666	12700	10524	9110	12749	8724	9385	11626
ENSMUSG00000099364	4	0	0	2	2	0	3	3	0	27	13	33	20	20	24
ENSMUSG00000100562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056870	467	404	425	450	451	190	1245	514	203	1420	555	1489	1005	1244	1311
ENSMUSG00000102319	2	6	10	0	2	1	4	4	0	12	0	1	4	0	4
ENSMUSG00000089877	2	2	3	0	0	7	2	5	4	4	10	2	3	4	3
ENSMUSG00000101701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103071	0	0	0	0	0	1	0	0	1	0	2	0	2	2	8
ENSMUSG00000100434	0	0	0	0	0	0	0	0	2	4	0	0	6	0	0
ENSMUSG00000100013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000101937	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000039630	23451	27290	24390	30985	23783	13064	43416	21125	17009	29307	17949	37213	22252	27163	32070
ENSMUSG00000104279	45	37	31	37	64	150	70	87	111	83	38	52	71	90	88
ENSMUSG00002075531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026495	607	482	548	661	615	370	963	637	488	1012	656	1203	1002	1463	1411
ENSMUSG00000032883	1074	1025	896	951	1019	826	1998	968	977	1933	1163	2114	1390	1529	1840
ENSMUSG00000026480	6349	7334	6909	8498	6697	15125	15007	11402	9011	2642	2662	3966	3255	3087	5076
ENSMUSG00000026494	299	245	273	297	210	363	740	256	231	1998	2502	1863	1421	1992	1910
ENSMUSG00000064967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102922	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000025915	2171	2215	2236	2551	1903	1002	3524	1477	1163	1909	1161	2577	1771	1943	2314
ENSMUSG00000089713	0	1	0	0	0	2	7	1	0	52	41	45	30	72	41
ENSMUSG00000079470	283	285	315	350	355	226	592	398	350	494	297	540	379	443	534
ENSMUSG00000099377	23	13	12	24	20	13	48	31	31	23	25	21	30	26	26
ENSMUSG00000099706	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000047330	336	420	329	488	768	3774	2657	4350	3832	1649	1786	1733	672	794	891
ENSMUSG00000101324	1	1	2	5	0	4	8	14	9	1	1	10	1	5	0
ENSMUSG00000072978	23	16	12	24	7	20	24	17	18	28	18	29	24	39	30
ENSMUSG00000046334	40	18	25	25	16	10	37	6	8	14	24	23	11	15	34
ENSMUSG00002075801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050711	10	2	8	10	2	18	10	11	13	34	13	22	20	28	40
ENSMUSG00000099562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055067	700	649	534	765	732	1342	1091	939	876	983	1082	1073	876	873	1155
ENSMUSG00000054702	584	558	539	638	471	314	772	382	331	773	305	940	576	587	818
ENSMUSG00000096474	64	72	64	51	60	152	104	80	82	95	156	59	77	59	81
ENSMUSG00000102235	0	5	2	8	4	9	10	10	10	8	0	8	4	1	2
ENSMUSG00000026492	688	669	626	773	744	990	1305	996	897	965	830	1122	870	1097	1151
ENSMUSG00000082395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038949	2683	2601	2585	2912	2908	5101	5131	3739	2767	4115	3743	4367	3636	4157	4721
ENSMUSG00000026043	4840	5977	5620	7416	7146	7390	36240	11379	7204	64859	66409	76183	33006	50636	32066
ENSMUSG00000046101	29	63	31	56	45	49	52	74	39	27	24	23	24	17	38
ENSMUSG00002074901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032	83	58	37	57	59	54	195	92	96	113	69	154	75	78	147
ENSMUSG00000104025	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038936	677	525	578	698	723	1166	1314	917	887	1839	1245	1921	1404	1770	1826
ENSMUSG00000042772	5785	6097	5604	6843	6173	4429	7296	4383	4452	6256	5878	6985	4853	6034	6806
ENSMUSG00000100394	0	0	6	6	2	2	8	0	2	2	0	2	6	13	2
ENSMUSG00000103840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087236	0	0	0	4	0	0	8	0	0	16	3	6	3	11	15
ENSMUSG00000100702	1	2	0	0	0	1	2	0	0	0	1	0	0	0	1
ENSMUSG00000026042	2499	2478	2597	3404	3118	2143	8439	3037	2385	10544	11520	13592	6725	10463	7638
ENSMUSG00000104476	2	2	7	4	2	0	10	0	3	13	4	36	8	8	10
ENSMUSG00000073643	1952	2055	2152	2604	3025	4098	5576	3913	3980	1779	1295	2236	3273	3688	4687
ENSMUSG00000104497	6	8	0	4	4	2	0	0	2	0	4	2	6	2	2
ENSMUSG00000025916	57	74	44	39	72	41	142	69	53	58	33	107	79	59	86
ENSMUSG00000087199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026248	918	1009	908	1058	1036	1040	1396	879	820	1338	1298	1311	921	1142	1126
ENSMUSG00000119658	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0
ENSMUSG00000026249	2447	2214	2629	2813	3176	4825	5071	3360	2845	7235	7550	7990	5030	6510	5547
ENSMUSG00000042751	268	273	303	285	307	316	515	325	290	842	1026	803	577	666	753
ENSMUSG00000067106	185	153	152	202	169	257	223	167	156	95	106	139	119	102	122
ENSMUSG00000099969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100397	38	41	51	42	62	58	50	38	53	55	79	58	26	22	51
ENSMUSG00000099753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118883	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0
